page,pseudo,fbID,groupe,dateCréation,aimentPageMin,aimentPageMax,followersMin,followersMax,publications,partages,commentaires,likes,love,solidarité,haha,wow,tristesse,colère,interactions,vidéoNb,vidéoVues
"CIBL 101,5",CIBL1015,#56034380050,ARCQ,2008-07-08,23283,23607,25383,26300,344,570,268,2074,505,41,3,13,1,4,3479,27,11161
La semaine verte,semaineverte,#100063815640094,Radio-Canada,2008-08-19,64764,69280,76714,93286,345,20163,6967,50548,7005,2307,245,1338,2456,654,91683,91,722142
L'épicerie,lepicerie,#100064084267099,Radio-Canada,2008-08-19,96345,106432,98388,109403,686,35942,24424,96314,17238,2407,2099,5436,3682,2450,189992,80,773252
Hebdomadaire La Revue de Terrebonne,revueterrebonne,#107310330253,Lexis média,2008-12-14,10877,12003,11472,12900,2073,10249,10872,23570,6468,1814,667,1731,2107,891,58369,27,26757
L'Indice bohémien,indicebohemien,#157035310656,AMECQ,2009-03-23,4321,4457,4680,4910,321,583,292,1707,822,65,5,22,2,0,3498,10,2897
CJAD 800 Montreal,cjad800,#100064010050671,Bell,2009-03-31,43863,44393,44311,44943,3535,22267,94661,77683,12056,3751,16809,6487,16820,12468,263002,201,219982
La Presse,LaPresseFB,#100064750746253,La Presse,2009-04-02,678145,687996,697034,714986,18204,321607,1393480,1400187,268268,111295,612372,110762,328472,299790,4846233,5,39665
Journal Métro,journalmetro,#100064403815260,Métro média,2009-04-09,161381,162341,164798,167078,5651,33502,129598,151630,25281,8163,45342,8234,14437,18894,435081,51,282289
URBANIA,URBANIA,#70366134138,Urbania,2009-04-17,168323,173356,185626,199028,2478,39908,47185,131498,40862,17042,28620,2182,4228,2247,313772,214,6641343
Actualités - L'Étincelle du Val SF,actualitesletincelle,#100063454697742,Néomédia,2009-05-14,4101,4288,4142,4346,1119,2648,842,4799,701,211,48,187,532,78,10046,1,570
www.zone911.com,zone911,#106245819760,Site web indépendant,2009-06-15,127599,132475,130256,136339,1395,122864,65161,63503,9230,8704,13961,29556,65447,11769,390195,6,153236
Le Devoir,ledevoir,#100064833755433,Le Devoir,2009-06-17,378794,397400,432896,469004,9721,343800,839752,1599866,218502,109583,374345,75246,220547,239030,4020671,277,7977224
Le Citoyen Rouyn - La Sarre,lecitoyenrouynlasarre,#100063753092649,Lexis média,2009-06-30,21210,21515,21498,21889,1930,20900,12221,34328,7804,1031,1587,2365,2512,1105,83853,7,1855
Métro - Québec Hebdo,metroquebechebdo,#100063546582140,Métro média,2009-07-02,17682,17994,17401,17731,2003,3237,3444,4242,615,234,1861,272,735,740,15380,3,201
Journal Entrée Libre,journalentreelibre,#100568953535,AMECQ,2009-07-08,955,1100,1019,1171,98,58,34,221,39,14,0,3,0,0,369,0,0
Les Affaires,la.lesaffaires,#100306918236,Contex,2009-07-13,157867,163656,167894,178392,5685,41165,105005,207697,18258,2474,44279,5583,3682,11763,439906,0,0
Journal Le Reflet,JournalLeRefletGraviteMedia,#102471329717,Gravité média,2009-07-14,17979,18987,19379,20886,2772,23765,23516,47684,9420,3180,2176,5053,5044,2910,122748,0,0
La Voix du Sud,lavoixdusud,#100063533621737,Ici Médias,2009-07-21,10755,11871,11497,13020,777,16696,6371,23424,3782,572,374,1556,2287,554,55616,5,18108
RDS,RDS,#132756582352,Bell,2009-08-10,405613,415755,435223,492601,10650,266460,1160688,4060036,751897,103840,344879,125502,136954,59264,7009520,770,50919777
Beauce Média,beaucemedia,#100047356160473,Ici Médias,2009-08-23,10819,11733,11525,12760,690,12709,7844,18327,4168,842,535,1668,1678,667,48438,10,25431
Le Peuple Lotbinière,plotbiniere,#125130501979,Hebdo privé indépendant,2009-08-23,5861,6490,6195,7052,1055,5114,2565,6706,1586,156,196,355,440,266,17384,8,3113
CIBM FM 107,CIBM107,#140168673893,Groupe Radio Simard,2009-08-25,23101,23829,23736,24725,1307,16439,54953,30232,6407,728,1381,1694,2449,1373,115656,245,263993
James Bay Cree Communications Society,JBCCS,#108841052324,Radio privée indépendante,2009-08-26,9289,9455,9488,9985,575,1011,478,1812,583,79,92,42,39,3,4139,42,33323
CBC Montreal,CBCMontreal,#128015371297,Radio-Canada,2009-09-09,129713,133121,154339,180337,2392,54819,3067,263105,50944,45767,14141,11460,32645,15408,491356,31,289597
West QuebecPost,west.quebecpost,#901877453180330,Hebdo privé indépendant,2009-09-28,772,772,787,787,1,3,0,0,0,0,0,0,0,0,3,0,0
Journal TDN,journal.tdn,#1436132130011806,AMECQ,2009-10-03,3743,3863,3868,4007,1477,2341,721,2846,601,88,82,293,156,134,7262,0,0
ICI Ottawa Gatineau,iciottawagatineau,#152856822182,Radio-Canada,2009-10-13,59506,60957,68432,72891,2856,32208,23092,72478,16798,7887,9473,4744,8156,10133,184969,367,2182560
La Tribune,Latribunedesherbrooke,#100063740523358,CN2i,2009-10-15,47144,49849,49441,53357,9871,80884,142618,214753,46886,21559,37504,24833,51144,34958,655139,53,565677
TVA Nouvelles,TVAnouvelles,#100064851813351,Québecor,2009-10-26,1186043,1190582,1200231,1207722,12601,1445878,3472508,3414914,688802,361043,1101118,553744,1316625,883478,13238110,22,1894543
"CFIM, la radio des Îles de la Madeleine",cfimradio,#990363124358961,ARCQ,2009-10-26,8617,9036,9039,9702,1865,4952,2525,11950,2160,436,316,647,941,91,24018,2,10860
Chatelaine,ChatelaineMagazine,#100064898493568,St. Joseph,2009-11-12,159495,160852,161132,162503,890,3586,1601,14565,1094,335,110,103,207,119,21720,8,84768
